experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_25,100,CMB,True,"['37', '61', '79']","['37', '61']",1695
100_25,100,MBbyMB,True,"['37', '61', '84', '96']","['37', '61']",4447
100_26,100,locpc,True,"['21', '99', '67']","['21', '67', '99']",2165
100_26,100,ldecc,True,"['21', '34', '99']","['21', '67', '99']",2313
100_26,100,CMB,True,"['21', '99', '67']","['21', '67', '99']",706
100_26,100,MBbyMB,True,"['21', '55', '71', '42', '92', '99', '67']","['21', '67', '99']",7381
100_27,100,locpc,True,"['68', '57', '8']","['8', '57']",590
100_27,100,ldecc,True,['57'],"['8', '57']",3617
100_27,100,CMB,True,['8'],"['8', '57']",6041
100_27,100,MBbyMB,True,"['6', '8', '57']","['8', '57']",2681
100_28,100,locpc,True,"['86', '85', '81']","['81', '85', '86']",651
100_28,100,ldecc,True,"['85', '86', '81']","['81', '85', '86']",432
100_28,100,CMB,True,"['81', '86', '85']","['81', '85', '86']",175
100_28,100,MBbyMB,True,"['19', '72', '81', '86', '85', '48']","['81', '85', '86']",3012
100_29,100,locpc,True,"['9', '17', '43']","['9', '43']",855
100_29,100,ldecc,True,"['85', '9', '43']","['9', '43']",669
100_29,100,CMB,True,"['9', '43', '88']","['9', '43']",857
100_29,100,MBbyMB,True,"['9', '14', '27', '43', '74', '88', '4']","['9', '43']",4237
100_30,100,locpc,True,"['85', '19', '54', '11', '35']","['11', '19', '35', '54', '85']",1047
100_30,100,ldecc,True,"['54', '19', '35', '85', '11']","['11', '19', '35', '54', '85']",777
100_30,100,CMB,True,"['11', '19', '54', '85', '35']","['11', '19', '35', '54', '85']",1177
100_30,100,MBbyMB,True,"['19', '55', '63', '54', '85']","['11', '19', '35', '54', '85']",6566
100_31,100,locpc,True,"['81', '14']","['14', '81']",485
100_31,100,ldecc,True,"['90', '57', '91', '81']","['14', '81']",677
100_31,100,CMB,True,"['81', '90', '14']","['14', '81']",567
100_31,100,MBbyMB,True,"['81', '32', '14']","['14', '81']",1239
100_32,100,locpc,True,"['37', '22', '3']","['22', '37']",1395
100_32,100,ldecc,True,"['69', '22', '37']","['22', '37']",1772
100_32,100,CMB,True,['22'],"['22', '37']",1200
100_32,100,MBbyMB,True,"['37', '22']","['22', '37']",6954
100_33,100,locpc,True,[],"['10', '25', '91']",174
100_33,100,ldecc,True,"['91', '10']","['10', '25', '91']",324
100_33,100,CMB,True,"['10', '91', '17']","['10', '25', '91']",784
100_33,100,MBbyMB,True,"['10', '67', '74', '91', '35']","['10', '25', '91']",1525
100_34,100,locpc,True,[],"['13', '48']",180
100_34,100,ldecc,True,"['30', '13', '48', '76']","['13', '48']",2773
100_34,100,CMB,True,"['48', '76', '13', '30']","['13', '48']",957
100_34,100,MBbyMB,True,"['48', '49', '13']","['13', '48']",2723
100_35,100,locpc,True,"['80', '32']","['32', '80']",492
100_35,100,ldecc,True,"['80', '32']","['32', '80']",322
100_35,100,CMB,True,"['32', '80']","['32', '80']",145
100_35,100,MBbyMB,True,"['32', '86', '80']","['32', '80']",1318
100_36,100,locpc,True,"['63', '61', '15']","['15', '61', '63']",879
100_36,100,ldecc,True,"['63', '15', '62']","['15', '61', '63']",606
100_36,100,CMB,True,"['63', '65', '61']","['15', '61', '63']",948
100_36,100,MBbyMB,True,"['42', '63', '15', '61']","['15', '61', '63']",2802
100_37,100,locpc,True,"['50', '33', '78', '37']","['33', '37', '50', '78']",821
100_37,100,ldecc,True,"['37', '4', '75', '96', '76', '78']","['33', '37', '50', '78']",1049
100_37,100,CMB,True,"['33', '37', '78', '50']","['33', '37', '50', '78']",224
100_37,100,MBbyMB,True,"['33', '49', '41', '50']","['33', '37', '50', '78']",5660
100_38,100,locpc,True,"['28', '62', '23', '85', '48']","['48', '85']",3270
100_38,100,ldecc,True,"['23', '60']","['48', '85']",13947
100_38,100,CMB,True,"['48', '85']","['48', '85']",148
100_38,100,MBbyMB,True,"['91', '53', '48', '11', '35', '85', '21']","['48', '85']",4088
100_39,100,locpc,True,"['45', '10', '35']","['10', '35']",705
100_39,100,ldecc,True,"['10', '35']","['10', '35']",370
100_39,100,CMB,True,"['10', '35', '69']","['10', '35']",597
100_39,100,MBbyMB,True,"['10', '35', '83', '16']","['10', '35']",1387
100_40,100,locpc,True,['56'],['56'],1847
100_40,100,ldecc,True,"['39', '18', '55', '4', '77']",['56'],5283
100_40,100,CMB,True,['56'],['56'],3863
100_40,100,MBbyMB,True,"['13', '56']",['56'],3829
100_41,100,locpc,True,"['51', '9', '85', '86']","['9', '85', '86']",726
100_41,100,ldecc,True,"['85', '9', '86']","['9', '85', '86']",420
100_41,100,CMB,True,"['9', '85', '86']","['9', '85', '86']",151
100_41,100,MBbyMB,True,"['9', '85', '60', '89', '86']","['9', '85', '86']",1623
100_42,100,locpc,True,"['59', '85']","['59', '85']",692
100_42,100,ldecc,True,"['59', '85']","['59', '85']",322
100_42,100,CMB,True,"['59', '85']","['59', '85']",146
100_42,100,MBbyMB,True,"['27', '35', '59', '84', '85']","['59', '85']",2597
100_43,100,locpc,True,"['69', '0']","['0', '69']",682
100_43,100,ldecc,True,"['0', '83', '28']","['0', '69']",372
100_43,100,CMB,True,['69'],"['0', '69']",6117
100_43,100,MBbyMB,True,"['0', '81', '47', '69', '8']","['0', '69']",2597
100_44,100,locpc,True,"['80', '59', '14', '2']","['38', '80']",856
100_44,100,ldecc,True,"['80', '14']","['38', '80']",2012
100_44,100,CMB,True,['59'],"['38', '80']",7689
100_44,100,MBbyMB,True,"['16', '80']","['38', '80']",2107
100_45,100,locpc,True,['68'],['68'],1609
100_45,100,ldecc,True,"['19', '68']",['68'],3290
100_45,100,CMB,True,['68'],['68'],2180
100_45,100,MBbyMB,True,[],['68'],2653
100_46,100,locpc,True,[],['30'],822
100_46,100,ldecc,True,['40'],['30'],13196
100_46,100,CMB,True,['40'],['30'],2595
100_46,100,MBbyMB,True,['30'],['30'],2148
100_47,100,locpc,True,"['1', '63', '35']","['1', '35', '63']",670
100_47,100,ldecc,True,"['63', '35', '1']","['1', '35', '63']",386
100_47,100,CMB,True,"['35', '63', '1']","['1', '35', '63']",162
100_47,100,MBbyMB,True,"['35', '63', '19', '74', '1', '89', '43']","['1', '35', '63']",2829
100_48,100,locpc,True,"['31', '12']","['12', '31']",521
100_48,100,ldecc,True,"['12', '31']","['12', '31']",397
100_48,100,CMB,True,"['31', '12']","['12', '31']",143
100_48,100,MBbyMB,True,"['11', '31', '60', '70', '12']","['12', '31']",2250
100_49,100,locpc,True,"['1', '2', '66']","['2', '66']",980
100_49,100,ldecc,True,"['2', '66', '1']","['2', '66']",6704
100_49,100,CMB,True,['1'],"['2', '66']",4170
100_49,100,MBbyMB,True,"['2', '4', '6', '10', '66']","['2', '66']",4560
100_50,100,locpc,True,"['29', '39']","['29', '39']",413
100_50,100,ldecc,True,"['46', '92', '29']","['29', '39']",2540
100_50,100,CMB,True,"['29', '39']","['29', '39']",131
100_50,100,MBbyMB,True,"['29', '39']","['29', '39']",1571
100_51,100,locpc,True,"['64', '33']","['33', '64']",526
100_51,100,ldecc,True,"['20', '33', '64']","['33', '64']",2136
100_51,100,CMB,True,"['64', '20', '33']","['33', '64']",829
100_51,100,MBbyMB,True,"['64', '65', '33']","['33', '64']",1949
100_52,100,locpc,True,"['35', '66', '97', '29', '72']","['35', '66', '72', '97']",1464
100_52,100,ldecc,True,"['98', '7', '72']","['35', '66', '72', '97']",4766
100_52,100,CMB,True,"['66', '72', '35', '97']","['35', '66', '72', '97']",670
100_52,100,MBbyMB,True,"['32', '66', '69', '72', '35', '96', '33']","['35', '66', '72', '97']",3584
100_53,100,locpc,True,"['81', '55', '64']","['55', '81']",882
100_53,100,ldecc,True,"['55', '81']","['55', '81']",401
100_53,100,CMB,True,['55'],"['55', '81']",1561
100_53,100,MBbyMB,True,"['55', '76', '81']","['55', '81']",2219
100_54,100,locpc,True,"['41', '75', '1']","['1', '41']",874
100_54,100,ldecc,True,"['41', '75']","['1', '41']",12213
100_54,100,CMB,False,,"['1', '41']",30685
100_54,100,MBbyMB,True,"['1', '75', '58']","['1', '41']",2192
100_55,100,locpc,True,"['90', '46', '27']","['27', '46']",1130
100_55,100,ldecc,True,"['46', '27', '90']","['27', '46']",363
100_55,100,CMB,True,"['27', '46', '90']","['27', '46']",748
100_55,100,MBbyMB,True,"['27', '46', '48', '90', '43', '47']","['27', '46']",3336
100_56,100,locpc,True,"['62', '43']","['43', '62']",1081
100_56,100,ldecc,True,"['43', '62']","['43', '62']",329
100_56,100,CMB,True,['62'],"['43', '62']",9322
100_56,100,MBbyMB,True,"['43', '57', '62', '99']","['43', '62']",4296
100_57,100,locpc,True,"['0', '23']","['0', '23']",663
100_57,100,ldecc,True,"['0', '23']","['0', '23']",407
100_57,100,CMB,True,"['23', '0']","['0', '23']",144
100_57,100,MBbyMB,True,"['49', '56', '23', '0']","['0', '23']",2614
100_58,100,locpc,True,"['74', '71']","['71', '74']",467
100_58,100,ldecc,True,"['71', '74']","['71', '74']",402
100_58,100,CMB,True,"['71', '74']","['71', '74']",133
100_58,100,MBbyMB,True,"['38', '64', '71', '74', '50']","['71', '74']",1878
100_59,100,locpc,True,['27'],"['27', '94']",2031
100_59,100,ldecc,True,"['41', '27']","['27', '94']",2997
100_59,100,CMB,True,['27'],"['27', '94']",4049
100_59,100,MBbyMB,True,[],"['27', '94']",3588
100_60,100,locpc,True,"['52', '6', '35']","['6', '35', '52']",726
100_60,100,ldecc,True,"['6', '52', '35']","['6', '35', '52']",363
100_60,100,CMB,True,"['6', '35', '52']","['6', '35', '52']",180
100_60,100,MBbyMB,True,"['1', '6', '35', '52', '53', '71']","['6', '35', '52']",2422
100_61,100,locpc,True,"['47', '24']","['13', '24', '47']",1035
100_61,100,ldecc,True,"['30', '47', '24']","['13', '24', '47']",7690
100_61,100,CMB,True,"['24', '47']","['13', '24', '47']",163
100_61,100,MBbyMB,True,"['24', '73', '47', '37']","['13', '24', '47']",2553
100_62,100,locpc,True,"['41', '71']","['41', '71']",484
100_62,100,ldecc,True,"['71', '41']","['41', '71']",394
100_62,100,CMB,True,"['41', '71']","['41', '71']",138
100_62,100,MBbyMB,True,"['41', '54', '62', '71', '82']","['41', '71']",1837
100_63,100,locpc,True,"['60', '5', '41', '8', '13']","['5', '41']",978
100_63,100,ldecc,True,"['5', '41']","['5', '41']",310
100_63,100,CMB,True,['41'],"['5', '41']",749
100_63,100,MBbyMB,True,"['0', '5', '28', '41', '60']","['5', '41']",3248
100_64,100,locpc,True,"['71', '91', '84']","['71', '91']",1462
100_64,100,ldecc,True,"['91', '71']","['71', '91']",310
100_64,100,CMB,True,"['71', '91', '84']","['71', '91']",1398
100_64,100,MBbyMB,True,"['71', '72', '91', '84', '92', '86']","['71', '91']",5629
100_65,100,locpc,True,"['8', '56']","['8', '56']",973
100_65,100,ldecc,True,"['0', '8']","['8', '56']",2400
100_65,100,CMB,True,['56'],"['8', '56']",5233
100_65,100,MBbyMB,True,"['67', '56']","['8', '56']",2445
100_66,100,locpc,True,"['99', '90']","['90', '99']",1089
100_66,100,ldecc,True,['99'],"['90', '99']",311
100_66,100,CMB,True,['99'],"['90', '99']",3894
100_66,100,MBbyMB,True,"['46', '99', '43']","['90', '99']",3900
100_67,100,locpc,True,"['52', '99']","['52', '99']",406
100_67,100,ldecc,True,"['30', '93']","['52', '99']",312
100_67,100,CMB,True,"['52', '99']","['52', '99']",129
100_67,100,MBbyMB,True,"['15', '52', '85', '72', '99']","['52', '99']",1807
100_68,100,locpc,True,"['24', '69']","['24', '69']",1770
100_68,100,ldecc,True,"['24', '73', '29']","['24', '69']",1107
100_68,100,CMB,True,['69'],"['24', '69']",3847
100_68,100,MBbyMB,True,"['24', '84', '96', '12', '69', '33']","['24', '69']",7079
100_69,100,locpc,True,"['62', '52', '21']","['21', '62', '80']",1151
100_69,100,ldecc,True,"['71', '52', '62']","['21', '62', '80']",455
100_69,100,CMB,True,"['62', '81', '21', '80']","['21', '62', '80']",3263
100_69,100,MBbyMB,True,"['4', '60', '62', '21']","['21', '62', '80']",2009
100_70,100,locpc,True,"['2', '8']","['2', '8']",1724
100_70,100,ldecc,True,"['35', '32', '2', '94']","['2', '8']",4002
100_70,100,CMB,True,['2'],"['2', '8']",9508
100_70,100,MBbyMB,True,"['2', '40', '51', '70', '8', '37']","['2', '8']",4228
100_71,100,locpc,True,"['2', '41']","['2', '41']",743
100_71,100,ldecc,True,['41'],"['2', '41']",1110
100_71,100,CMB,True,['57'],"['2', '41']",38830
100_71,100,MBbyMB,True,"['1', '2', '12']","['2', '41']",2563
100_72,100,locpc,True,"['93', '97', '4']","['4', '97']",578
100_72,100,ldecc,True,['4'],"['4', '97']",14321
100_72,100,CMB,True,"['4', '97']","['4', '97']",125
100_72,100,MBbyMB,True,"['4', '18', '97', '35']","['4', '97']",1213
100_73,100,locpc,True,"['82', '1', '5', '49', '67', '33']","['1', '5', '33', '49', '67']",1505
100_73,100,ldecc,True,"['49', '5', '1', '67']","['1', '5', '33', '49', '67']",14255
100_73,100,CMB,True,"['1', '33', '67', '49', '5']","['1', '5', '33', '49', '67']",5276
100_73,100,MBbyMB,True,"['1', '9', '22', '33', '57', '67', '94', '73', '49', '5']","['1', '5', '33', '49', '67']",5356
100_74,100,locpc,True,"['85', '59', '67']","['59', '67', '85']",1241
100_74,100,ldecc,False,,"['59', '67', '85']",13344
100_74,100,CMB,True,['59'],"['59', '67', '85']",1458
100_74,100,MBbyMB,True,"['17', '85', '59', '68', '67', '43']","['59', '67', '85']",4422
100_75,100,locpc,True,"['97', '94']","['94', '97']",389
100_75,100,ldecc,True,"['97', '94']","['94', '97']",381
100_75,100,CMB,True,"['94', '97']","['94', '97']",129
100_75,100,MBbyMB,True,"['94', '97', '38']","['94', '97']",899
100_76,100,locpc,True,"['30', '72', '87']","['30', '87']",966
100_76,100,ldecc,True,['87'],"['30', '87']",297
100_76,100,CMB,True,"['30', '47', '87']","['30', '87']",3219
100_76,100,MBbyMB,True,"['0', '30', '54', '82', '87', '93']","['30', '87']",2692
100_77,100,locpc,True,"['81', '57', '53', '71', '94']","['57', '71']",1378
100_77,100,ldecc,True,"['57', '71']","['57', '71']",388
100_77,100,CMB,True,"['71', '57']","['57', '71']",183
100_77,100,MBbyMB,True,"['65', '71', '88', '57']","['57', '71']",3222
100_78,100,locpc,True,"['32', '25', '46']","['25', '32']",530
100_78,100,ldecc,True,"['32', '25']","['25', '32']",408
100_78,100,CMB,True,"['25', '32']","['25', '32']",124
100_78,100,MBbyMB,True,"['0', '25', '32', '38', '99']","['25', '32']",1855
100_79,100,locpc,False,,['94'],5844
100_79,100,ldecc,True,"['33', '18', '16', '62']",['94'],8838
100_79,100,CMB,True,['94'],['94'],7860
100_79,100,MBbyMB,True,"['51', '44', '94']",['94'],2363
100_80,100,locpc,True,"['62', '60']","['60', '62']",966
100_80,100,ldecc,True,"['8', '60']","['60', '62']",4704
100_80,100,CMB,True,"['60', '62']","['60', '62']",352
100_80,100,MBbyMB,True,"['60', '62']","['60', '62']",3786
100_81,100,locpc,True,"['39', '75']","['39', '75']",893
100_81,100,ldecc,True,"['39', '75']","['39', '75']",486
100_81,100,CMB,False,,"['39', '75']",5693
100_81,100,MBbyMB,True,"['39', '75', '38', '11', '13', '52']","['39', '75']",4172
100_82,100,locpc,True,"['13', '19']","['13', '19']",494
100_82,100,ldecc,True,"['13', '19']","['13', '19']",333
100_82,100,CMB,True,"['13', '19']","['13', '19']",138
100_82,100,MBbyMB,True,"['13', '19']","['13', '19']",1400
100_83,100,locpc,True,"['79', '54', '56', '10']","['10', '79']",986
100_83,100,ldecc,True,['79'],"['10', '79']",1251
100_83,100,CMB,True,"['10', '79', '55', '56']","['10', '79']",3653
100_83,100,MBbyMB,True,"['10', '32', '79', '83', '15']","['10', '79']",4654
100_84,100,locpc,True,"['80', '91', '11', '75', '13']","['11', '13']",1301
100_84,100,ldecc,True,"['91', '4']","['11', '13']",12216
100_84,100,CMB,True,['13'],"['11', '13']",1192
100_84,100,MBbyMB,True,"['11', '42', '14', '13']","['11', '13']",3787
100_85,100,locpc,True,"['25', '88']","['25', '88']",604
100_85,100,ldecc,True,"['88', '25']","['25', '88']",384
100_85,100,CMB,True,"['25', '88']","['25', '88']",140
100_85,100,MBbyMB,True,"['25', '59', '88']","['25', '88']",1254
100_86,100,locpc,True,"['85', '61', '25', '19']","['19', '61', '85']",878
100_86,100,ldecc,True,"['85', '4', '19']","['19', '61', '85']",579
100_86,100,CMB,True,['19'],"['19', '61', '85']",2354
100_86,100,MBbyMB,True,"['85', '19', '80', '61']","['19', '61', '85']",2148
100_87,100,locpc,True,"['97', '22', '40']","['22', '97']",757
100_87,100,ldecc,True,['97'],"['22', '97']",9822
100_87,100,CMB,True,['97'],"['22', '97']",1846
100_87,100,MBbyMB,True,"['22', '53', '97', '40']","['22', '97']",2985
100_88,100,locpc,True,"['4', '85']","['4', '85']",486
100_88,100,ldecc,True,"['85', '4']","['4', '85']",319
100_88,100,CMB,True,"['4', '40', '85']","['4', '85']",1412
100_88,100,MBbyMB,True,"['4', '7', '85']","['4', '85']",925
100_89,100,locpc,True,"['1', '45', '77', '4']","['1', '4', '45', '77']",1107
100_89,100,ldecc,True,"['64', '45', '1']","['1', '4', '45', '77']",416
100_89,100,CMB,True,"['1', '45', '4', '77']","['1', '4', '45', '77']",256
100_89,100,MBbyMB,True,"['1', '45', '12', '9', '4', '77']","['1', '4', '45', '77']",4051
100_90,100,locpc,True,"['50', '66']","['50', '66']",547
100_90,100,ldecc,True,"['66', '51', '50']","['50', '66']",1304
100_90,100,CMB,True,"['50', '66']","['50', '66']",145
