dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,0.99,1171.13
100,ldecc,0.98,2782.65
100,CMB,0.98,2878.4
100,MBbyMB,1.0,3622.99
150,locpc,0.97,1475.96
150,ldecc,0.96,5630.76
150,CMB,1.0,2941.67
150,MBbyMB,1.0,4213.42
200,locpc,1.0,1944.06
200,ldecc,0.99,4999.2
200,CMB,1.0,3509.53
200,MBbyMB,1.0,5492.16
