dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,1.0,1519.97
100,ldecc,0.77,5848.27
100,CMB,1.0,11511.07
100,MBbyMB,1.0,13597.21
150,locpc,1.0,1996.72
150,ldecc,0.84,12754.05
150,CMB,1.0,26903.92
150,MBbyMB,1.0,26866.37
200,locpc,1.0,3479.87
200,ldecc,0.75,28502.31
200,CMB,1.0,55246.46
200,MBbyMB,1.0,67452.53
