dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.4,239.13
10,pc,0.3,482.29
20,locpc,0.41,675.89
20,pc,0.36,1619.16
30,locpc,0.42,1243.18
30,pc,0.33,3222.13
40,locpc,0.4,1497.66
40,pc,0.4,5163.62
50,locpc,0.39,2063.4
50,pc,0.33,7474.39
